x=1349.4, y= 404.5 | w=None  , h=None   | r=None           | name=선 1                       | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=1394.0, y= 420.0 | w=None  , h=None   | r=None           | name=원장실
감사실
안전혁신실
법무실         | {'fill': '#212121', 'font': '18px S-Core Dream 5 Medium'} | 원장실\n감사실\n안전혁신실\n법무실
x= 121.5, y= 437.6 | w=None  , h=None   | r=None           | name=그룹 34                     | {} | 
x=1258.0, y= 463.0 | w=310   , h=35     | r=[7, 7, 7, 7]   | name=사각형 72                    | {'fill': '#eff6fe'} | 
x= 116.0, y= 468.2 | w=None  , h=None   | r=None           | name=그룹 40                     | {} | 
x= 139.8, y= 472.9 | w=None  , h=None   | r=None           | name=그룹 30                     | {} | 
x=1351.0, y= 549.1 | w=None  , h=None   | r=12.5           | name=타원 3                      | {'fill': '#e5f0ff'} | 
x=1356.3, y= 555.8 | w=None  , h=None   | r=None           | name=패스 99                     | {'fill': '#1c4aa0'} | 
x=  42.0, y= 565.0 | w=1165  , h=515    | r=[30, 30, 0, 0] | name=keyboard_bg               | {'fill': '#000000'} | 
x=1381.2, y= 569.1 | w=None  , h=None   | r=None           | name=정책기획부                     | {'fill': '#1c4aa2', 'font': '18px S-Core Dream 5 Medium'} | 정책기획부
x=1363.5, y= 584.1 | w=None  , h=None   | r=None           | name=선 1                       | {'stroke': '#1c4aa0 (Nonepx)'} | 
x= 121.5, y= 598.7 | w=None  , h=None   | r=None           | name=그룹 34                     | {} | 
x=1399.4, y= 604.1 | w=None  , h=None   | r=None           | name=정책기획실
조직인사실
계획예산실         | {'fill': '#212121', 'font': '18px S-Core Dream 5 Medium'} | 정책기획실\n조직인사실\n계획예산실
x= 197.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 282.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 367.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 452.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 537.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 622.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 707.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 792.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 877.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 962.0, y= 619.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 224.0, y= 663.0 | w=None  , h=None   | r=None           | name=1                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 1
x= 309.0, y= 663.0 | w=None  , h=None   | r=None           | name=2                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 2
x= 394.0, y= 663.0 | w=None  , h=None   | r=None           | name=3                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 3
x= 479.0, y= 663.0 | w=None  , h=None   | r=None           | name=4                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 4
x= 564.0, y= 663.0 | w=None  , h=None   | r=None           | name=5                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 5
x= 649.0, y= 663.0 | w=None  , h=None   | r=None           | name=6                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 6
x= 734.0, y= 663.0 | w=None  , h=None   | r=None           | name=7                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 7
x= 819.0, y= 663.0 | w=None  , h=None   | r=None           | name=8                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 8
x= 904.0, y= 663.0 | w=None  , h=None   | r=None           | name=9                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 9
x= 989.0, y= 663.0 | w=None  , h=None   | r=None           | name=0                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | 0
x= 197.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 282.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 367.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 452.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 537.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 622.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 707.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 792.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 877.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 962.0, y= 704.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x=1351.0, y= 712.1 | w=None  , h=None   | r=12.5           | name=타원 3                      | {'fill': '#e5f0ff'} | 
x=1356.3, y= 718.9 | w=None  , h=None   | r=None           | name=패스 99                     | {'fill': '#1c4aa0'} | 
x=1381.2, y= 729.1 | w=None  , h=None   | r=None           | name=대외협력실                     | {'fill': '#1c4aa2', 'font': '18px S-Core Dream 5 Medium'} | 대외협력실
x=1363.5, y= 744.1 | w=None  , h=None   | r=None           | name=선 1                       | {'stroke': '#1c4aa0 (Nonepx)'} | 
x= 219.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅂ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅂ
x= 304.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅈ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅈ
x= 389.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㄷ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㄷ
x= 474.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㄱ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㄱ
x= 559.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅅ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅅ
x= 645.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅛ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅛ
x= 730.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅕ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅕ
x= 815.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅑ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅑ
x= 900.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅐ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅐ
x= 985.0, y= 750.0 | w=None  , h=None   | r=None           | name=ㅔ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅔ
x=1399.4, y= 764.1 | w=None  , h=None   | r=None           | name=대회협력기획실
국제협력실             | {'fill': '#212121', 'font': '18px S-Core Dream 5 Medium'} | 대회협력기획실\n국제협력실
x= 240.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 325.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 410.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 495.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 580.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 665.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 750.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
